frame,parameter,value
0,$4002_period,1
0,$400B_length,0
0,$4006_period,1
0,$400A_period,1
0,$400B_length,0
0,$400E_period,0
0,$400E_mode,0
0,$4000_duty,0
0,$4000_const,1
0,$4000_vol,0
0,$4004_duty,0
0,$4004_const,1
0,$4004_vol,0
0,$4008_linear,48
0,$400C_const,1
0,$400C_vol,0
2,$4002_period,1
2,$400B_length,0
2,$4006_period,1
2,$400A_period,1
2,$400B_length,0
3,$4000_duty,1
3,$4000_const,1
3,$4000_vol,0
3,$4001_sweep,127
3,$4002_period,961
3,$400B_length,1
3,$4004_duty,0
3,$4004_const,1
3,$4004_vol,0
3,$4005_sweep,127
3,$4006_period,1
3,$4008_linear,0
4,$4000_duty,1
4,$4000_const,1
4,$4000_vol,14
4,$4001_sweep,127
4,$4004_duty,0
4,$4004_const,1
4,$4004_vol,8
4,$4005_sweep,127
4,$4008_linear,0
5,$4002_period,1
5,$400B_length,0
5,$4006_period,1
5,$400A_period,1
5,$400B_length,0
5,$400E_period,0
5,$400E_mode,0
5,$4000_duty,0
5,$4000_const,1
5,$4000_vol,0
5,$4004_duty,0
5,$4004_const,1
5,$4004_vol,0
5,$4008_linear,48
5,$400C_const,1
5,$400C_vol,0
7,$4002_period,1
7,$400B_length,0
7,$4006_period,1
7,$400A_period,1
7,$400B_length,0
8,$4000_duty,1
8,$4000_const,1
8,$4000_vol,12
8,$4001_sweep,127
8,$4002_period,453
8,$400B_length,0
8,$4004_duty,0
8,$4004_const,1
8,$4004_vol,7
8,$4005_sweep,127
8,$4008_linear,0
9,$4000_duty,1
9,$4000_const,1
9,$4000_vol,13
9,$4001_sweep,127
9,$4004_duty,0
9,$4004_const,1
9,$4004_vol,8
9,$4005_sweep,127
9,$4008_linear,0
10,$4000_duty,1
10,$4000_const,1
10,$4000_vol,11
10,$4001_sweep,127
10,$4004_duty,0
10,$4004_const,1
10,$4004_vol,9
10,$4005_sweep,127
10,$4008_linear,0
11,$4000_duty,1
11,$4000_const,1
11,$4000_vol,9
11,$4001_sweep,127
11,$4004_duty,0
11,$4004_const,1
11,$4004_vol,10
11,$4005_sweep,127
