frame,parameter,value
164,$4000_duty,0
164,$4000_const,1
164,$4000_vol,0
164,$4004_duty,0
164,$4004_const,1
164,$4004_vol,0
164,$400C_const,1
164,$400C_vol,0
164,$4008_linear,0
747,$4000_duty,0
747,$4000_const,1
747,$4000_vol,0
747,$4004_duty,0
747,$4004_const,1
747,$4004_vol,0
747,$400C_const,1
747,$400C_vol,0
747,$4008_linear,0
748,$4000_duty,2
748,$4000_const,1
748,$4000_vol,7
748,$4001_sweep,127
748,$4002_period,513
748,$400B_length,9
748,$4004_duty,2
748,$4004_const,1
748,$4004_vol,8
748,$4005_sweep,127
748,$4006_period,1
748,$4008_linear,16
748,$400A_period,1
748,$400B_length,8
748,$400C_const,1
748,$400C_vol,15
748,$400E_period,2
748,$400E_mode,0
749,$4000_duty,2
749,$4000_const,1
749,$4000_vol,6
749,$4001_sweep,127
749,$4004_duty,2
749,$4004_const,1
749,$4004_vol,7
749,$4005_sweep,127
749,$400C_const,1
749,$400C_vol,1
749,$400E_period,1
749,$400E_mode,0
750,$4000_duty,2
750,$4000_const,1
750,$4000_vol,5
750,$4001_sweep,127
750,$4004_duty,2
750,$4004_const,1
750,$4004_vol,6
750,$4005_sweep,127
750,$400C_const,1
750,$400C_vol,0
753,$4000_duty,2
753,$4000_const,1
753,$4000_vol,1
753,$4001_sweep,127
753,$4004_duty,2
753,$4004_const,1
753,$4004_vol,1
753,$4005_sweep,127
754,$4000_duty,2
754,$4000_const,1
754,$4000_vol,7
754,$4001_sweep,127
754,$4004_duty,2
754,$4004_const,1
754,$4004_vol,8
754,$4005_sweep,127
754,$4008_linear,0
754,$400C_const,1
754,$400C_vol,6
754,$400E_period,2
754,$400E_mode,0
755,$4000_duty,2
755,$4000_const,1
755,$4000_vol,6
755,$4001_sweep,127
755,$4004_duty,2
755,$4004_const,1
755,$4004_vol,7
755,$4005_sweep,127
755,$400C_const,1
755,$400C_vol,1
755,$400E_period,1
755,$400E_mode,0
756,$4000_duty,2
756,$4000_const,1
756,$4000_vol,5
756,$4001_sweep,127
756,$4004_duty,2
756,$4004_const,1
756,$4004_vol,6
756,$4005_sweep,127
756,$400C_const,1
756,$400C_vol,0
759,$4000_duty,2
759,$4000_const,1
759,$4000_vol,1
759,$4001_sweep,127
759,$4004_duty,2
759,$4004_const,1
759,$4004_vol,1
759,$4005_sweep,127
760,$4000_duty,2
760,$4000_const,1
760,$4000_vol,7
760,$4001_sweep,127
760,$4004_duty,2
760,$4004_const,1
760,$4004_vol,8
760,$4005_sweep,127
760,$4008_linear,16
760,$400A_period,453
760,$400B_length,8
760,$400C_const,1
760,$400C_vol,15
760,$400E_period,2
760,$400E_mode,0
761,$4000_duty,2
761,$4000_const,1
761,$4000_vol,6
761,$4001_sweep,127
761,$4004_duty,2
761,$4004_const,1
761,$4004_vol,7
761,$4005_sweep,127
761,$400C_const,1
761,$400C_vol,1
761,$400E_period,1
761,$400E_mode,0
762,$4000_duty,2
