frame,parameter,value
62,$4000_duty,1
62,$4000_const,1
62,$4000_vol,0
62,$4004_duty,1
62,$4004_const,1
62,$4004_vol,0
62,$4008_linear,112
62,$400C_const,0
62,$400C_vol,0
62,$400E_period,0
62,$400E_mode,0
163,$4000_duty,0
163,$4000_const,1
163,$4000_vol,15
163,$4001_sweep,132
163,$4002_period,3585
163,$400B_length,79
167,$4000_duty,0
167,$4000_const,1
167,$4000_vol,15
167,$4001_sweep,132
167,$4002_period,3585
167,$400B_length,79
171,$4000_duty,0
171,$4000_const,1
171,$4000_vol,15
171,$4001_sweep,132
171,$4002_period,3585
171,$400B_length,79
175,$4000_duty,0
175,$4000_const,1
175,$4000_vol,15
175,$4001_sweep,132
175,$4002_period,3585
175,$400B_length,79
179,$4000_duty,0
179,$4000_const,1
179,$4000_vol,15
179,$4001_sweep,132
179,$4002_period,3585
179,$400B_length,79
183,$4000_duty,0
183,$4000_const,1
183,$4000_vol,15
183,$4001_sweep,132
183,$4002_period,3585
183,$400B_length,79
187,$4000_duty,0
187,$4000_const,1
187,$4000_vol,15
187,$4001_sweep,132
187,$4002_period,3585
187,$400B_length,79
191,$4000_duty,0
191,$4000_const,1
191,$4000_vol,15
191,$4001_sweep,132
191,$4002_period,3585
191,$400B_length,79
195,$4000_duty,0
195,$4000_const,1
195,$4000_vol,15
195,$4001_sweep,132
195,$4002_period,3585
195,$400B_length,79
199,$4000_duty,0
199,$4000_const,1
199,$4000_vol,15
199,$4001_sweep,132
199,$4002_period,3585
199,$400B_length,79
203,$4000_duty,0
203,$4000_const,1
203,$4000_vol,15
203,$4001_sweep,132
203,$4002_period,3585
203,$400B_length,79
207,$4000_duty,0
207,$4000_const,1
207,$4000_vol,15
207,$4001_sweep,132
207,$4002_period,3585
207,$400B_length,79
211,$4000_duty,0
211,$4000_const,1
211,$4000_vol,15
211,$4001_sweep,132
211,$4002_period,3585
211,$400B_length,79
215,$4000_duty,0
215,$4000_const,1
215,$4000_vol,15
215,$4001_sweep,132
215,$4002_period,3585
215,$400B_length,79
219,$4000_duty,0
219,$4000_const,1
219,$4000_vol,15
219,$4001_sweep,132
219,$4002_period,3585
219,$400B_length,79
223,$4000_duty,0
223,$4000_const,1
223,$4000_vol,15
223,$4001_sweep,132
223,$4002_period,3585
223,$400B_length,79
227,$4000_duty,0
227,$4000_const,1
227,$4000_vol,15
227,$4001_sweep,132
227,$4002_period,3585
227,$400B_length,79
231,$4000_duty,0
231,$4000_const,1
231,$4000_vol,15
231,$4001_sweep,132
231,$4002_period,3585
231,$400B_length,79
235,$4000_duty,0
235,$4000_const,1
235,$4000_vol,15
235,$4001_sweep,132
235,$4002_period,3585
235,$400B_length,79
239,$4000_duty,0
239,$4000_const,1
239,$4000_vol,15
239,$4001_sweep,132
239,$4002_period,3585
239,$400B_length,79
243,$4000_duty,0
243,$4000_const,1
243,$4000_vol,15
243,$4001_sweep,132
243,$4002_period,3585
243,$400B_length,79
247,$4000_duty,0
247,$4000_const,1
247,$4000_vol,15
247,$4001_sweep,132
247,$4002_period,3585
247,$400B_length,79
251,$4000_duty,0
251,$4000_const,1
251,$4000_vol,15
251,$4001_sweep,132
251,$4002_period,3585
251,$400B_length,79
255,$4000_duty,0
255,$4000_const,1
255,$4000_vol,15
255,$4001_sweep,132
255,$4002_period,3585
255,$400B_length,79
259,$4000_duty,0
259,$4000_const,1
259,$4000_vol,15
259,$4001_sweep,132
259,$4002_period,3585
259,$400B_length,79
263,$4000_duty,0
263,$4000_const,1
263,$4000_vol,15
263,$4001_sweep,132
263,$4002_period,3585
263,$400B_length,79
267,$4000_duty,0
267,$4000_const,1
267,$4000_vol,15
267,$4001_sweep,132
267,$4002_period,3585
267,$400B_length,79
271,$4000_duty,0
271,$4000_const,1
271,$4000_vol,15
271,$4001_sweep,132
271,$4002_period,3585
271,$400B_length,79
275,$4000_duty,0
275,$4000_const,1
275,$4000_vol,15
275,$4001_sweep,132
275,$4002_period,3585
275,$400B_length,79
279,$4000_duty,0
279,$4000_const,1
279,$4000_vol,15
279,$4001_sweep,132
279,$4002_period,3585
279,$400B_length,79
282,$4000_duty,0
282,$4000_const,1
282,$4000_vol,15
282,$4001_sweep,132
282,$4002_period,3585
282,$400B_length,79
283,$4000_duty,0
283,$4000_const,1
283,$4000_vol,15
283,$4001_sweep,132
283,$4002_period,1
283,$400B_length,72
283,$4004_duty,2
283,$4004_const,1
283,$4004_vol,14
283,$4005_sweep,151
283,$4006_period,1615
285,$4004_duty,2
285,$4004_const,1
285,$4004_vol,14
285,$4005_sweep,151
285,$4006_period,1615
287,$4004_duty,2
287,$4004_const,1
287,$4004_vol,14
287,$4005_sweep,151
287,$4006_period,1615
544,$4000_duty,2
544,$4000_const,0
544,$4000_vol,15
544,$4001_sweep,72
544,$4002_period,201
544,$400B_length,16
544,$400C_const,0
544,$400C_vol,3
544,$400E_period,7
544,$400E_mode,0
545,$4000_duty,2
545,$4000_const,0
545,$4000_vol,15
545,$4001_sweep,72
545,$4002_period,201
545,$400B_length,16
546,$4000_duty,2
546,$4000_const,0
546,$4000_vol,15
546,$4001_sweep,72
546,$4002_period,201
546,$400B_length,16
548,$4000_duty,2
548,$4000_const,0
548,$4000_vol,15
548,$4001_sweep,72
548,$4002_period,201
548,$400B_length,16
566,$4000_duty,2
566,$4000_const,0
566,$4000_vol,15
566,$4001_sweep,72
566,$4002_period,201
566,$400B_length,16
567,$4000_duty,2
567,$4000_const,0
567,$4000_vol,15
567,$4001_sweep,72
567,$4002_period,201
567,$400B_length,16
568,$4000_duty,2
568,$4000_const,0
568,$4000_vol,15
568,$4001_sweep,72
568,$4002_period,201
568,$400B_length,16
570,$4000_duty,2
570,$4000_const,0
570,$4000_vol,15
570,$4001_sweep,72
570,$4002_period,201
570,$400B_length,16
588,$4000_duty,2
588,$4000_const,0
588,$4000_vol,15
588,$4001_sweep,72
588,$4002_period,201
588,$400B_length,16
589,$4000_duty,2
589,$4000_const,0
589,$4000_vol,15
589,$4001_sweep,72
589,$4002_period,201
589,$400B_length,16
590,$4000_duty,2
590,$4000_const,0
590,$4000_vol,15
590,$4001_sweep,72
590,$4002_period,201
590,$400B_length,16
592,$4000_duty,2
592,$4000_const,0
592,$4000_vol,15
592,$4001_sweep,72
592,$4002_period,201
592,$400B_length,16
599,$4000_duty,2
599,$4000_const,0
599,$4000_vol,15
599,$4001_sweep,72
599,$4002_period,201
599,$400B_length,16
600,$4000_duty,2
600,$4000_const,0
600,$4000_vol,15
600,$4001_sweep,72
600,$4002_period,201
600,$400B_length,16
601,$4000_duty,2
601,$4000_const,0
601,$4000_vol,15
601,$4001_sweep,72
601,$4002_period,201
601,$400B_length,16
603,$4000_duty,2
603,$4000_const,0
603,$4000_vol,15
603,$4001_sweep,72
603,$4002_period,201
603,$400B_length,16
621,$4000_duty,2
621,$4000_const,0
621,$4000_vol,15
621,$4001_sweep,72
621,$4002_period,201
621,$400B_length,16
622,$4000_duty,2
622,$4000_const,0
622,$4000_vol,15
622,$4001_sweep,72
622,$4002_period,201
622,$400B_length,16
623,$4000_duty,2
623,$4000_const,0
623,$4000_vol,15
623,$4001_sweep,72
623,$4002_period,201
623,$400B_length,16
625,$4000_duty,2
625,$4000_const,0
625,$4000_vol,15
625,$4001_sweep,72
625,$4002_period,201
625,$400B_length,16
632,$4000_duty,2
632,$4000_const,0
632,$4000_vol,15
632,$4001_sweep,72
632,$4002_period,201
632,$400B_length,16
633,$4000_duty,2
633,$4000_const,0
633,$4000_vol,15
633,$4001_sweep,72
633,$4002_period,201
633,$400B_length,16
634,$4000_duty,2
634,$4000_const,0
634,$4000_vol,15
634,$4001_sweep,72
634,$4002_period,201
634,$400B_length,16
636,$4000_duty,2
636,$4000_const,0
636,$4000_vol,15
636,$4001_sweep,72
636,$4002_period,201
636,$400B_length,16
643,$4000_duty,2
643,$4000_const,0
643,$4000_vol,15
643,$4001_sweep,72
643,$4002_period,201
643,$400B_length,16
644,$4000_duty,2
644,$4000_const,0
644,$4000_vol,15
644,$4001_sweep,72
644,$4002_period,201
644,$400B_length,16
645,$4000_duty,2
645,$4000_const,0
645,$4000_vol,15
645,$4001_sweep,72
645,$4002_period,201
645,$400B_length,16
647,$4000_duty,2
647,$4000_const,0
647,$4000_vol,15
647,$4001_sweep,72
647,$4002_period,201
647,$400B_length,16
654,$4000_duty,2
654,$4000_const,0
654,$4000_vol,15
654,$4001_sweep,72
654,$4002_period,201
654,$400B_length,16
655,$4000_duty,2
655,$4000_const,0
655,$4000_vol,15
655,$4001_sweep,72
655,$4002_period,201
655,$400B_length,16
656,$4000_duty,2
656,$4000_const,0
656,$4000_vol,15
656,$4001_sweep,72
656,$4002_period,201
656,$400B_length,16
658,$4000_duty,2
658,$4000_const,0
658,$4000_vol,15
658,$4001_sweep,72
658,$4002_period,201
658,$400B_length,16
665,$4000_duty,2
665,$4000_const,0
665,$4000_vol,15
665,$4001_sweep,72
665,$4002_period,201
665,$400B_length,16
666,$4000_duty,2
666,$4000_const,0
666,$4000_vol,15
666,$4001_sweep,72
666,$4002_period,201
666,$400B_length,16
667,$4000_duty,2
667,$4000_const,0
667,$4000_vol,15
667,$4001_sweep,72
667,$4002_period,201
667,$400B_length,16
669,$4000_duty,2
669,$4000_const,0
669,$4000_vol,15
669,$4001_sweep,72
669,$4002_period,201
669,$400B_length,16
676,$4000_duty,2
676,$4000_const,0
676,$4000_vol,15
676,$4001_sweep,72
676,$4002_period,201
676,$400B_length,16
677,$4000_duty,2
677,$4000_const,0
677,$4000_vol,15
677,$4001_sweep,72
677,$4002_period,201
677,$400B_length,16
678,$4000_duty,2
678,$4000_const,0
678,$4000_vol,15
678,$4001_sweep,72
678,$4002_period,201
678,$400B_length,16
680,$4000_duty,2
680,$4000_const,0
680,$4000_vol,15
680,$4001_sweep,72
680,$4002_period,201
680,$400B_length,16
720,$400C_const,0
720,$400C_vol,3
720,$400E_period,3
720,$400E_mode,0
731,$400C_const,0
731,$400C_vol,3
731,$400E_period,3
731,$400E_mode,0
737,$400C_const,0
737,$400C_vol,3
737,$400E_period,3
737,$400E_mode,0
742,$400C_const,0
742,$400C_vol,3
742,$400E_period,3
742,$400E_mode,0
748,$400C_const,0
748,$400C_vol,3
748,$400E_period,3
748,$400E_mode,0
753,$400C_const,0
753,$400C_vol,3
753,$400E_period,3
753,$400E_mode,0
759,$400C_const,0
759,$400C_vol,3
759,$400E_period,3
759,$400E_mode,0
764,$400C_const,0
764,$400C_vol,3
764,$400E_period,3
764,$400E_mode,0
786,$4000_duty,2
786,$4000_const,0
786,$4000_vol,15
786,$4001_sweep,72
786,$4002_period,201
786,$400B_length,16
787,$4000_duty,2
787,$4000_const,0
787,$4000_vol,15
787,$4001_sweep,72
787,$4002_period,201
787,$400B_length,16
788,$4000_duty,2
788,$4000_const,0
788,$4000_vol,15
788,$4001_sweep,72
788,$4002_period,201
788,$400B_length,16
790,$4000_duty,2
790,$4000_const,0
790,$4000_vol,15
790,$4001_sweep,72
790,$4002_period,201
790,$400B_length,16
808,$400C_const,0
808,$400C_vol,3
808,$400E_period,3
808,$400E_mode,0
819,$400C_const,0
819,$400C_vol,3
819,$400E_period,3
819,$400E_mode,0
825,$400C_const,0
825,$400C_vol,3
825,$400E_period,3
825,$400E_mode,0
830,$400C_const,0
830,$400C_vol,3
830,$400E_period,3
830,$400E_mode,0
836,$400C_const,0
836,$400C_vol,3
836,$400E_period,3
836,$400E_mode,0
841,$400C_const,0
841,$400C_vol,3
841,$400E_period,3
841,$400E_mode,0
847,$400C_const,0
847,$400C_vol,3
847,$400E_period,3
847,$400E_mode,0
852,$400C_const,0
852,$400C_vol,3
852,$400E_period,3
852,$400E_mode,0
874,$4000_duty,2
874,$4000_const,0
874,$4000_vol,15
874,$4001_sweep,72
874,$4002_period,201
874,$400B_length,16
875,$4000_duty,2
875,$4000_const,0
875,$4000_vol,15
875,$4001_sweep,72
875,$4002_period,201
875,$400B_length,16
876,$4000_duty,2
876,$4000_const,0
876,$4000_vol,15
876,$4001_sweep,72
876,$4002_period,201
876,$400B_length,16
878,$4000_duty,2
878,$4000_const,0
878,$4000_vol,15
878,$4001_sweep,72
878,$4002_period,201
878,$400B_length,16
896,$400C_const,0
896,$400C_vol,3
896,$400E_period,3
896,$400E_mode,0
907,$400C_const,0
907,$400C_vol,3
907,$400E_period,3
907,$400E_mode,0
918,$4000_duty,2
918,$4000_const,0
918,$4000_vol,15
918,$4001_sweep,72
918,$4002_period,201
918,$400B_length,16
919,$4000_duty,2
919,$4000_const,0
919,$4000_vol,15
919,$4001_sweep,72
919,$4002_period,201
919,$400B_length,16
920,$4000_duty,2
920,$4000_const,0
920,$4000_vol,15
920,$4001_sweep,72
920,$4002_period,201
920,$400B_length,16
922,$4000_duty,2
922,$4000_const,0
922,$4000_vol,15
922,$4001_sweep,72
922,$4002_period,201
922,$400B_length,16
940,$400C_const,0
940,$400C_vol,3
940,$400E_period,3
940,$400E_mode,0
951,$400C_const,0
951,$400C_vol,3
951,$400E_period,3
951,$400E_mode,0
962,$4000_duty,2
962,$4000_const,0
962,$4000_vol,15
962,$4001_sweep,72
962,$4002_period,201
962,$400B_length,16
963,$4000_duty,2
963,$4000_const,0
963,$4000_vol,15
963,$4001_sweep,72
963,$4002_period,201
963,$400B_length,16
964,$4000_duty,2
964,$4000_const,0
964,$4000_vol,15
964,$4001_sweep,72
964,$4002_period,201
964,$400B_length,16
966,$4000_duty,2
966,$4000_const,0
966,$4000_vol,15
966,$4001_sweep,72
966,$4002_period,201
966,$400B_length,16
984,$400C_const,0
984,$400C_vol,3
984,$400E_period,3
984,$400E_mode,0
995,$400C_const,0
995,$400C_vol,3
995,$400E_period,3
995,$400E_mode,0
1006,$4000_duty,2
1006,$4000_const,0
1006,$4000_vol,15
1006,$4001_sweep,72
1006,$4002_period,201
1006,$400B_length,16
1007,$4000_duty,2
1007,$4000_const,0
1007,$4000_vol,15
1007,$4001_sweep,72
1007,$4002_period,201
1007,$400B_length,16
1008,$4000_duty,2
1008,$4000_const,0
1008,$4000_vol,15
1008,$4001_sweep,72
1008,$4002_period,201
1008,$400B_length,16
1010,$4000_duty,2
1010,$4000_const,0
1010,$4000_vol,15
1010,$4001_sweep,72
1010,$4002_period,201
1010,$400B_length,16
1039,$400C_const,0
1039,$400C_vol,3
1039,$400E_period,3
1039,$400E_mode,0
1050,$400C_const,0
1050,$400C_vol,3
1050,$400E_period,3
1050,$400E_mode,0
1061,$400C_const,0
1061,$400C_vol,3
1061,$400E_period,3
1061,$400E_mode,0
1072,$400C_const,0
1072,$400C_vol,3
1072,$400E_period,3
1072,$400E_mode,0
1078,$400C_const,0
1078,$400C_vol,4
1078,$400E_period,10
1078,$400E_mode,0
1081,$400C_const,0
1081,$400C_vol,4
1081,$400E_period,10
1081,$400E_mode,1
1085,$400C_const,0
1085,$400C_vol,4
1085,$400E_period,10
1085,$400E_mode,1
1088,$400C_const,0
1088,$400C_vol,4
1088,$400E_period,10
1088,$400E_mode,0
1090,$400C_const,0
1090,$400C_vol,4
1090,$400E_period,10
1090,$400E_mode,0
1092,$400C_const,0
1092,$400C_vol,4
1092,$400E_period,4
1092,$400E_mode,0
1094,$400C_const,0
1094,$400C_vol,3
1094,$400E_period,3
1094,$400E_mode,0
1101,$400C_const,0
1101,$400C_vol,3
1101,$400E_period,3
1101,$400E_mode,0
1108,$400C_const,0
1108,$400C_vol,3
1108,$400E_period,3
1108,$400E_mode,0
1116,$400C_const,0
1116,$400C_vol,3
1116,$400E_period,3
1116,$400E_mode,0
1127,$400C_const,0
1127,$400C_vol,3
1127,$400E_period,3
1127,$400E_mode,0
1138,$4000_duty,2
1138,$4000_const,0
1138,$4000_vol,15
1138,$4001_sweep,72
1138,$4002_period,201
1138,$400B_length,16
1139,$4000_duty,2
1139,$4000_const,0
1139,$4000_vol,15
1139,$4001_sweep,72
1139,$4002_period,201
1139,$400B_length,16
1140,$4000_duty,2
1140,$4000_const,0
1140,$4000_vol,15
1140,$4001_sweep,72
1140,$4002_period,201
1140,$400B_length,16
1142,$4000_duty,2
1142,$4000_const,0
1142,$4000_vol,15
1142,$4001_sweep,72
1142,$4002_period,201
1142,$400B_length,16
1160,$400C_const,0
1160,$400C_vol,3
1160,$400E_period,3
1160,$400E_mode,0
1167,$400C_const,0
1167,$400C_vol,3
1167,$400E_period,3
1167,$400E_mode,0
1174,$400C_const,0
1174,$400C_vol,3
1174,$400E_period,3
1174,$400E_mode,0
1182,$400C_const,0
1182,$400C_vol,3
1182,$400E_period,3
1182,$400E_mode,0
1189,$400C_const,0
1189,$400C_vol,3
1189,$400E_period,3
1189,$400E_mode,0
1196,$400C_const,0
1196,$400C_vol,3
1196,$400E_period,3
1196,$400E_mode,0
1204,$400C_const,0
1204,$400C_vol,3
1204,$400E_period,3
1204,$400E_mode,0
1215,$400C_const,0
1215,$400C_vol,3
1215,$400E_period,3
1215,$400E_mode,0
1223,$4000_duty,1
1223,$4000_const,1
1223,$4000_vol,0
1223,$4004_duty,1
1223,$4004_const,1
1223,$4004_vol,0
1223,$4008_linear,112
1223,$400C_const,0
1223,$400C_vol,0
1223,$400E_period,0
1223,$400E_mode,0
1324,$4000_duty,2
1324,$4000_const,1
1324,$4000_vol,15
1324,$4001_sweep,127
1324,$4002_period,241
1324,$400B_length,80
1324,$4004_duty,2
1324,$4004_const,1
1324,$4004_vol,15
1324,$4005_sweep,127
1324,$4006_period,359
1324,$4008_linear,1
1324,$400A_period,359
1324,$400B_length,0
1346,$4008_linear,1
1346,$400A_period,381
1346,$400B_length,0
1368,$4008_linear,1
1368,$400A_period,403
1368,$400B_length,0
1379,$4000_duty,2
1379,$4000_const,1
1379,$4000_vol,15
1379,$4001_sweep,127
1379,$4002_period,241
1379,$400B_length,80
1379,$4004_duty,2
1379,$4004_const,1
1379,$4004_vol,15
1379,$4005_sweep,127
1379,$4006_period,359
1390,$4000_duty,2
1390,$4000_const,1
1390,$4000_vol,15
1390,$4001_sweep,127
1390,$4002_period,241
1390,$400B_length,80
1390,$4004_duty,2
1390,$4004_const,1
1390,$4004_vol,15
1390,$4005_sweep,127
1390,$4006_period,359
1390,$4008_linear,1
1390,$400A_period,427
1390,$400B_length,0
1412,$4000_duty,2
1412,$4000_const,1
1412,$4000_vol,15
1412,$4001_sweep,127
1412,$4002_period,227
1412,$400B_length,80
1412,$4004_duty,2
1412,$4004_const,1
1412,$4004_vol,15
1412,$4005_sweep,127
1412,$4006_period,359
1412,$4008_linear,1
1412,$400A_period,453
1412,$400B_length,0
1434,$4008_linear,1
1434,$400A_period,381
1434,$400B_length,0
1445,$4000_duty,2
1445,$4000_const,1
1445,$4000_vol,15
1445,$4001_sweep,127
1445,$4002_period,241
1445,$400B_length,80
1445,$4004_duty,2
1445,$4004_const,1
1445,$4004_vol,15
1445,$4005_sweep,127
1445,$4006_period,359
1456,$4008_linear,1
1456,$400A_period,359
1456,$400B_length,0
1478,$4008_linear,1
1478,$400A_period,321
1478,$400B_length,0
1500,$4000_duty,2
1500,$4000_const,1
1500,$4000_vol,15
1500,$4001_sweep,127
1500,$4002_period,191
1500,$400B_length,80
1500,$4004_duty,2
1500,$4004_const,1
1500,$4004_vol,15
1500,$4005_sweep,127
1500,$4006_period,303
1500,$4008_linear,1
1500,$400A_period,213
1500,$400B_length,0
1522,$4008_linear,1
1522,$400A_period,255
1522,$400B_length,0
1533,$4000_duty,2
1533,$4000_const,1
1533,$4000_vol,15
1533,$4001_sweep,127
1533,$4002_period,201
1533,$400B_length,80
1533,$4004_duty,2
1533,$4004_const,1
1533,$4004_vol,15
1533,$4005_sweep,127
1533,$4006_period,321
1544,$4008_linear,1
1544,$400A_period,269
1544,$400B_length,0
1566,$4000_duty,2
1566,$4000_const,1
1566,$4000_vol,15
1566,$4001_sweep,127
1566,$4002_period,161
1566,$400B_length,80
1566,$4004_duty,2
1566,$4004_const,1
1566,$4004_vol,15
1566,$4005_sweep,127
1566,$4006_period,269
1566,$4008_linear,1
1566,$400A_period,321
1566,$400B_length,0
1588,$4000_duty,2
1588,$4000_const,1
1588,$4000_vol,15
1588,$4001_sweep,127
1588,$4002_period,135
1588,$400B_length,80
1588,$4004_duty,2
1588,$4004_const,1
1588,$4004_vol,15
1588,$4005_sweep,127
1588,$4006_period,227
1588,$4008_linear,1
1588,$400A_period,403
1588,$400B_length,0
1610,$4008_linear,1
1610,$400A_period,321
1610,$400B_length,0
1632,$4008_linear,1
1632,$400A_period,213
1632,$400B_length,0
1654,$4008_linear,1
1654,$400A_period,201
1654,$400B_length,0
1676,$4000_duty,2
1676,$4000_const,1
1676,$4000_vol,15
1676,$4001_sweep,127
1676,$4002_period,1
1676,$400B_length,80
1676,$4004_duty,2
1676,$4004_const,1
1676,$4004_vol,15
1676,$4005_sweep,127
1676,$4006_period,1
1676,$4008_linear,1
1676,$400A_period,1
1676,$400B_length,0
1678,$4000_duty,2
1678,$4000_const,0
1678,$4000_vol,15
1678,$4001_sweep,72
1678,$4002_period,201
1678,$400B_length,16
1678,$400C_const,0
1678,$400C_vol,3
1678,$400E_period,0
1678,$400E_mode,0
1679,$4000_duty,2
1679,$4000_const,0
1679,$4000_vol,15
1679,$4001_sweep,72
1679,$4002_period,201
1679,$400B_length,16
1680,$4000_duty,2
1680,$4000_const,0
1680,$4000_vol,15
1680,$4001_sweep,72
1680,$4002_period,201
1680,$400B_length,16
1682,$4000_duty,2
1682,$4000_const,0
1682,$4000_vol,15
1682,$4001_sweep,72
1682,$4002_period,201
1682,$400B_length,16
1700,$4000_duty,2
1700,$4000_const,0
1700,$4000_vol,15
1700,$4001_sweep,72
1700,$4002_period,201
1700,$400B_length,16
1701,$4000_duty,2
1701,$4000_const,0
1701,$4000_vol,15
1701,$4001_sweep,72
1701,$4002_period,201
1701,$400B_length,16
1702,$4000_duty,2
1702,$4000_const,0
1702,$4000_vol,15
1702,$4001_sweep,72
1702,$4002_period,201
1702,$400B_length,16
1704,$4000_duty,2
1704,$4000_const,0
1704,$4000_vol,15
1704,$4001_sweep,72
1704,$4002_period,201
1704,$400B_length,16
1722,$4000_duty,2
1722,$4000_const,0
1722,$4000_vol,15
1722,$4001_sweep,72
1722,$4002_period,201
1722,$400B_length,16
1723,$4000_duty,2
1723,$4000_const,0
1723,$4000_vol,15
1723,$4001_sweep,72
1723,$4002_period,201
1723,$400B_length,16
1724,$4000_duty,2
1724,$4000_const,0
1724,$4000_vol,15
1724,$4001_sweep,72
1724,$4002_period,201
1724,$400B_length,16
1726,$4000_duty,2
1726,$4000_const,0
1726,$4000_vol,15
1726,$4001_sweep,72
1726,$4002_period,201
1726,$400B_length,16
1733,$4000_duty,2
1733,$4000_const,0
1733,$4000_vol,15
1733,$4001_sweep,72
1733,$4002_period,201
1733,$400B_length,16
1734,$4000_duty,2
1734,$4000_const,0
1734,$4000_vol,15
1734,$4001_sweep,72
1734,$4002_period,201
1734,$400B_length,16
1735,$4000_duty,2
1735,$4000_const,0
1735,$4000_vol,15
1735,$4001_sweep,72
1735,$4002_period,201
1735,$400B_length,16
1737,$4000_duty,2
1737,$4000_const,0
1737,$4000_vol,15
1737,$4001_sweep,72
1737,$4002_period,201
1737,$400B_length,16
1755,$4000_duty,2
1755,$4000_const,0
1755,$4000_vol,15
1755,$4001_sweep,72
1755,$4002_period,201
1755,$400B_length,16
1756,$4000_duty,2
1756,$4000_const,0
1756,$4000_vol,15
1756,$4001_sweep,72
1756,$4002_period,201
1756,$400B_length,16
1757,$4000_duty,2
1757,$4000_const,0
1757,$4000_vol,15
1757,$4001_sweep,72
1757,$4002_period,201
1757,$400B_length,16
1759,$4000_duty,2
1759,$4000_const,0
1759,$4000_vol,15
1759,$4001_sweep,72
1759,$4002_period,201
1759,$400B_length,16
1766,$4000_duty,2
1766,$4000_const,0
1766,$4000_vol,15
1766,$4001_sweep,72
1766,$4002_period,201
1766,$400B_length,16
1767,$4000_duty,2
1767,$4000_const,0
1767,$4000_vol,15
