frame,parameter,value
0,$400C_const,1
0,$400C_vol,0
0,$4008_linear,48
0,$4004_duty,2
0,$4004_const,1
0,$4004_vol,7
0,$4000_duty,2
0,$4000_const,1
0,$4000_vol,14
1,$400C_const,1
1,$400C_vol,0
1,$4008_linear,48
1,$4004_duty,2
1,$4004_const,1
1,$4004_vol,7
1,$4000_duty,2
1,$4000_const,1
1,$4000_vol,15
2,$400C_const,1
2,$400C_vol,0
2,$4008_linear,48
2,$4004_duty,2
2,$4004_const,1
2,$4004_vol,7
2,$4000_duty,2
2,$4000_const,1
2,$4000_vol,15
3,$400C_const,1
3,$400C_vol,0
3,$4008_linear,48
3,$4004_duty,2
3,$4004_const,1
3,$4004_vol,7
3,$4000_duty,2
3,$4000_const,1
3,$4000_vol,14
4,$400C_const,1
4,$400C_vol,0
4,$4008_linear,48
4,$4004_duty,2
4,$4004_const,1
4,$4004_vol,7
4,$4000_duty,2
4,$4000_const,1
4,$4000_vol,13
5,$400C_const,1
5,$400C_vol,0
5,$4008_linear,48
5,$4004_duty,2
5,$4004_const,1
5,$4004_vol,7
5,$4000_duty,2
5,$4000_const,1
5,$4000_vol,12
6,$400C_const,1
6,$400C_vol,0
6,$4008_linear,48
6,$4004_duty,2
6,$4004_const,1
6,$4004_vol,7
6,$4000_duty,2
6,$4000_const,1
6,$4000_vol,11
7,$400C_const,1
7,$400C_vol,0
7,$4008_linear,48
7,$4004_duty,2
7,$4004_const,1
7,$4004_vol,7
7,$4000_duty,2
7,$4000_const,1
7,$4000_vol,11
8,$400C_const,1
8,$400C_vol,0
8,$4008_linear,48
8,$4004_duty,2
8,$4004_const,1
8,$4004_vol,7
8,$4000_duty,2
8,$4000_const,1
8,$4000_vol,10
9,$400C_const,1
9,$400C_vol,0
9,$4008_linear,48
9,$4004_duty,2
9,$4004_const,1
9,$4004_vol,7
9,$4000_duty,2
9,$4000_const,1
9,$4000_vol,10
10,$400C_const,1
10,$400C_vol,0
10,$4008_linear,48
10,$4004_duty,2
10,$4004_const,1
10,$4004_vol,7
10,$4000_duty,2
10,$4000_const,1
10,$4000_vol,10
11,$400C_const,1
11,$400C_vol,0
11,$4008_linear,48
11,$4006_period,259
11,$4005_sweep,8
11,$4004_duty,2
11,$4004_const,1
11,$4004_vol,5
11,$4002_period,1
11,$400B_length,8
11,$4001_sweep,8
11,$4000_duty,2
11,$4000_const,1
11,$4000_vol,8
12,$400C_const,1
12,$400C_vol,0
12,$4008_linear,48
12,$4004_duty,2
12,$4004_const,1
12,$4004_vol,7
12,$4000_duty,2
12,$4000_const,1
12,$4000_vol,10
13,$400C_const,1
13,$400C_vol,0
13,$4008_linear,48
13,$4004_duty,2
13,$4004_const,1
13,$4004_vol,9
13,$4000_duty,2
13,$4000_const,1
13,$4000_vol,12
14,$400C_const,1
14,$400C_vol,0
14,$4008_linear,48
14,$4004_duty,2
14,$4004_const,1
14,$4004_vol,11
14,$4000_duty,2
14,$4000_const,1
14,$4000_vol,14
15,$400C_const,1
15,$400C_vol,0
15,$4008_linear,48
15,$4004_duty,2
15,$4004_const,1
15,$4004_vol,12
15,$4000_duty,2
15,$4000_const,1
15,$4000_vol,15
16,$400C_const,1
16,$400C_vol,0
16,$4008_linear,48
16,$4004_duty,2
16,$4004_const,1
16,$4004_vol,12
16,$4000_duty,2
16,$4000_const,1
16,$4000_vol,15
17,$400C_const,1
17,$400C_vol,0
17,$4008_linear,48
17,$4004_duty,2
17,$4004_const,1
17,$4004_vol,11
17,$4000_duty,2
17,$4000_const,1
17,$4000_vol,14
18,$400C_const,1
18,$400C_vol,0
18,$4008_linear,48
18,$4004_duty,2
18,$4004_const,1
18,$4004_vol,10
