frame,parameter,value
0,$4006_period,1285
0,$4004_duty,0
0,$4004_const,1
0,$4004_vol,10
0,$4005_sweep,127
0,$4000_duty,2
0,$4000_const,1
0,$4000_vol,0
0,$4001_sweep,127
1,$4004_duty,2
1,$4004_const,1
1,$4004_vol,0
1,$4005_sweep,127
1,$4000_duty,2
1,$4000_const,1
1,$4000_vol,0
1,$4001_sweep,127
2,$4006_period,2313
2,$4004_duty,0
2,$4004_const,1
2,$4004_vol,10
2,$4005_sweep,127
2,$4000_duty,2
2,$4000_const,1
2,$4000_vol,0
2,$4001_sweep,127
3,$4004_duty,2
3,$4004_const,1
3,$4004_vol,0
3,$4005_sweep,127
3,$4000_duty,2
3,$4000_const,1
3,$4000_vol,0
3,$4001_sweep,127
4,$4006_period,767
4,$4004_duty,0
4,$4004_const,1
4,$4004_vol,10
4,$4005_sweep,127
4,$4000_duty,2
4,$4000_const,1
4,$4000_vol,0
4,$4001_sweep,127
5,$4006_period,337
5,$4004_duty,0
5,$4004_const,1
5,$4004_vol,10
5,$4005_sweep,127
5,$4000_duty,2
5,$4000_const,1
5,$4000_vol,0
5,$4001_sweep,127
6,$4004_duty,2
6,$4004_const,1
6,$4004_vol,0
6,$4005_sweep,127
6,$4000_duty,2
6,$4000_const,1
6,$4000_vol,0
6,$4001_sweep,127
7,$4006_period,337
7,$4004_duty,0
7,$4004_const,1
7,$4004_vol,10
7,$4005_sweep,127
7,$4000_duty,2
7,$4000_const,1
7,$4000_vol,0
7,$4001_sweep,127
8,$4004_duty,2
8,$4004_const,1
8,$4004_vol,0
8,$4005_sweep,127
8,$4000_duty,2
8,$4000_const,1
8,$4000_vol,0
8,$4001_sweep,127
9,$4004_duty,2
9,$4004_const,1
9,$4004_vol,0
9,$4005_sweep,127
9,$4000_duty,2
9,$4000_const,1
9,$4000_vol,0
9,$4001_sweep,127
10,$4006_period,379
10,$4004_duty,0
10,$4004_const,1
10,$4004_vol,10
10,$4005_sweep,127
10,$4000_duty,2
10,$4000_const,1
10,$4000_vol,0
10,$4001_sweep,127
11,$4004_duty,2
11,$4004_const,1
11,$4004_vol,0
11,$4005_sweep,127
11,$4000_duty,2
11,$4000_const,1
11,$4000_vol,0
11,$4001_sweep,127
12,$4006_period,379
12,$4004_duty,0
12,$4004_const,1
12,$4004_vol,10
12,$4005_sweep,127
12,$4000_duty,2
12,$4000_const,1
12,$4000_vol,0
12,$4001_sweep,127
13,$4004_duty,2
13,$4004_const,1
13,$4004_vol,0
13,$4005_sweep,127
13,$4000_duty,2
13,$4000_const,1
13,$4000_vol,0
13,$4001_sweep,127
14,$4006_period,1293
14,$4004_duty,0
14,$4004_const,1
14,$4004_vol,10
14,$4005_sweep,127
14,$4000_duty,2
14,$4000_const,1
14,$4000_vol,0
14,$4001_sweep,127
15,$4006_period,425
15,$4004_duty,0
15,$4004_const,1
15,$4004_vol,10
15,$4005_sweep,127
15,$4000_duty,2
15,$4000_const,1
15,$4000_vol,0
15,$4001_sweep,127
16,$4006_period,3421
16,$4004_duty,0
16,$4004_const,1
16,$4004_vol,10
16,$4005_sweep,127
16,$4000_duty,2
16,$4000_const,1
16,$4000_vol,0
16,$4001_sweep,127
17,$4006_period,3421
17,$4004_duty,0
17,$4004_const,1
17,$4004_vol,10
17,$4005_sweep,127
17,$4000_duty,2
17,$4000_const,1
17,$4000_vol,0
17,$4001_sweep,127
18,$4006_period,2587
18,$4004_duty,0
18,$4004_const,1
18,$4004_vol,10
18,$4005_sweep,127
18,$4000_duty,2
18,$4000_const,1
18,$4000_vol,0
18,$4001_sweep,127
19,$4006_period,477
19,$4004_duty,0
19,$4004_const,1
19,$4004_vol,10
19,$4005_sweep,127
19,$4000_duty,2
19,$4000_const,1
19,$4000_vol,0
19,$4001_sweep,127
20,$4006_period,451
20,$4004_duty,0
20,$4004_const,1
20,$4004_vol,10
20,$4005_sweep,127
20,$4000_duty,2
20,$4000_const,1
20,$4000_vol,0
20,$4001_sweep,127
21,$4006_period,425
21,$4004_duty,0
21,$4004_const,1
21,$4004_vol,10
21,$4005_sweep,127
21,$4000_duty,2
21,$4000_const,1
21,$4000_vol,0
21,$4001_sweep,127
22,$4006_period,769
22,$4004_duty,0
22,$4004_const,1
22,$4004_vol,10
22,$4005_sweep,127
22,$4000_duty,2
22,$4000_const,1
22,$4000_vol,0
22,$4001_sweep,127
23,$4004_duty,2
23,$4004_const,1
23,$4004_vol,0
23,$4005_sweep,127
23,$4000_duty,2
23,$4000_const,1
23,$4000_vol,0
23,$4001_sweep,127
24,$4006_period,2313
24,$4004_duty,0
24,$4004_const,1
24,$4004_vol,10
24,$4005_sweep,127
24,$4000_duty,2
24,$4000_const,1
24,$4000_vol,0
24,$4001_sweep,127
25,$4004_duty,2
25,$4004_const,1
25,$4004_vol,0
25,$4005_sweep,127
25,$4000_duty,2
25,$4000_const,1
25,$4000_vol,0
25,$4001_sweep,127
26,$4006_period,767
26,$4004_duty,0
26,$4004_const,1
26,$4004_vol,10
26,$4005_sweep,127
26,$4000_duty,2
26,$4000_const,1
26,$4000_vol,0
26,$4001_sweep,127
27,$4006_period,451
27,$4004_duty,0
27,$4004_const,1
27,$4004_vol,10
27,$4005_sweep,127
27,$4000_duty,2
27,$4000_const,1
27,$4000_vol,0
27,$4001_sweep,127
28,$4004_duty,2
28,$4004_const,1
28,$4004_vol,0
28,$4005_sweep,127
28,$4000_duty,2
28,$4000_const,1
28,$4000_vol,0
28,$4001_sweep,127
29,$4006_period,451
29,$4004_duty,0
29,$4004_const,1
29,$4004_vol,10
29,$4005_sweep,127
29,$4000_duty,2
29,$4000_const,1
29,$4000_vol,0
29,$4001_sweep,127
30,$4004_duty,2
30,$4004_const,1
30,$4004_vol,0
30,$4005_sweep,127
30,$4000_duty,2
30,$4000_const,1
30,$4000_vol,0
30,$4001_sweep,127
31,$4004_duty,2
31,$4004_const,1
31,$4004_vol,0
31,$4005_sweep,127
31,$4000_duty,2
31,$4000_const,1
31,$4000_vol,0
31,$4001_sweep,127
32,$4006_period,639
32,$4004_duty,0
32,$4004_const,1
32,$4004_vol,10
32,$4005_sweep,127
32,$4000_duty,2
32,$4000_const,1
32,$4000_vol,0
32,$4001_sweep,127
33,$4004_duty,2
33,$4004_const,1
33,$4004_vol,0
33,$4005_sweep,127
33,$4000_duty,2
33,$4000_const,1
33,$4000_vol,0
33,$4001_sweep,127
34,$4006_period,639
34,$4004_duty,0
34,$4004_const,1
34,$4004_vol,10
34,$4005_sweep,127
34,$4000_duty,2
34,$4000_const,1
34,$4000_vol,0
34,$4001_sweep,127
35,$4004_duty,2
35,$4004_const,1
35,$4004_vol,0
35,$4005_sweep,127
35,$4000_duty,2
35,$4000_const,1
35,$4000_vol,0
35,$4001_sweep,127
36,$4006_period,1293
36,$4004_duty,0
36,$4004_const,1
36,$4004_vol,10
36,$4005_sweep,127
36,$4000_duty,2
36,$4000_const,1
36,$4000_vol,0
36,$4001_sweep,127
37,$4006_period,677
37,$4004_duty,0
37,$4004_const,1
37,$4004_vol,10
37,$4005_sweep,127
37,$4000_duty,2
37,$4000_const,1
37,$4000_vol,0
37,$4001_sweep,127
38,$4006_period,1285
38,$4004_duty,0
38,$4004_const,1
38,$4004_vol,10
38,$4005_sweep,127
38,$4000_duty,2
38,$4000_const,1
38,$4000_vol,0
38,$4001_sweep,127
39,$4004_duty,2
39,$4004_const,1
39,$4004_vol,0
39,$4005_sweep,127
39,$4000_duty,2
39,$4000_const,1
39,$4000_vol,0
39,$4001_sweep,127
40,$4006_period,1535
40,$4004_duty,0
40,$4004_const,1
40,$4004_vol,10
40,$4005_sweep,127
40,$4000_duty,2
40,$4000_const,1
40,$4000_vol,0
40,$4001_sweep,127
41,$4006_period,569
41,$4004_duty,0
41,$4004_const,1
41,$4004_vol,10
41,$4005_sweep,127
41,$4000_duty,2
41,$4000_const,1
41,$4000_vol,0
41,$4001_sweep,127
42,$4004_duty,2
42,$4004_const,1
42,$4004_vol,0
42,$4005_sweep,127
42,$4000_duty,2
42,$4000_const,1
42,$4000_vol,0
42,$4001_sweep,127
43,$4006_period,569
43,$4004_duty,0
43,$4004_const,1
43,$4004_vol,10
43,$4005_sweep,127
43,$4000_duty,2
43,$4000_const,1
43,$4000_vol,0
43,$4001_sweep,127
44,$4006_period,2313
44,$4004_duty,0
44,$4004_const,1
44,$4004_vol,10
44,$4005_sweep,127
44,$4000_duty,2
44,$4000_const,1
44,$4000_vol,0
44,$4001_sweep,127
45,$4004_duty,2
45,$4004_const,1
45,$4004_vol,0
45,$4005_sweep,127
45,$4000_duty,2
45,$4000_const,1
45,$4000_vol,0
45,$4001_sweep,127
46,$4006_period,767
46,$4004_duty,0
46,$4004_const,1
46,$4004_vol,10
46,$4005_sweep,127
46,$4000_duty,2
46,$4000_const,1
46,$4000_vol,0
46,$4001_sweep,127
47,$4004_duty,2
47,$4004_const,1
47,$4004_vol,0
47,$4005_sweep,127
47,$4000_duty,2
47,$4000_const,1
47,$4000_vol,0
47,$4001_sweep,127
48,$4004_duty,2
48,$4004_const,1
48,$4004_vol,0
48,$4005_sweep,127
48,$4000_duty,2
48,$4000_const,1
48,$4000_vol,0
48,$4001_sweep,127
49,$4006_period,569
49,$4004_duty,0
49,$4004_const,1
49,$4004_vol,10
49,$4005_sweep,127
49,$4000_duty,2
49,$4000_const,1
49,$4000_vol,0
49,$4001_sweep,127
50,$4004_duty,2
50,$4004_const,1
50,$4004_vol,0
50,$4005_sweep,127
50,$4000_duty,2
50,$4000_const,1
50,$4000_vol,0
50,$4001_sweep,127
51,$4006_period,569
51,$4004_duty,0
51,$4004_const,1
51,$4004_vol,10
51,$4005_sweep,127
51,$4000_duty,2
51,$4000_const,1
51,$4000_vol,0
51,$4001_sweep,127
52,$4004_duty,2
52,$4004_const,1
52,$4004_vol,0
52,$4005_sweep,127
52,$4000_duty,2
52,$4000_const,1
52,$4000_vol,0
52,$4001_sweep,127
53,$4006_period,1293
53,$4004_duty,0
53,$4004_const,1
53,$4004_vol,10
53,$4005_sweep,127
53,$4000_duty,2
53,$4000_const,1
53,$4000_vol,0
53,$4001_sweep,127
54,$4006_period,855
54,$4004_duty,0
54,$4004_const,1
54,$4004_vol,10
54,$4005_sweep,127
54,$4000_duty,2
54,$4000_const,1
54,$4000_vol,0
54,$4001_sweep,127
55,$4004_duty,2
55,$4004_const,1
55,$4004_vol,0
55,$4005_sweep,127
55,$4000_duty,2
55,$4000_const,1
55,$4000_vol,0
