frame,parameter,value
0,$4000_duty,3
0,$4000_const,1
0,$4000_vol,15
0,$4004_duty,2
0,$4004_const,1
0,$4004_vol,12
0,$4008_linear,64
1,$4000_duty,3
1,$4000_const,1
1,$4000_vol,15
1,$4004_duty,2
1,$4004_const,1
1,$4004_vol,12
1,$4008_linear,64
2,$4000_duty,3
2,$4000_const,1
2,$4000_vol,15
2,$4004_duty,2
2,$4004_const,1
2,$4004_vol,12
2,$4008_linear,64
3,$4000_duty,3
3,$4000_const,1
3,$4000_vol,14
3,$4004_duty,2
3,$4004_const,1
3,$4004_vol,11
3,$4008_linear,0
4,$4000_duty,3
4,$4000_const,1
4,$4000_vol,14
4,$4005_sweep,0
4,$4006_period,449
4,$4004_duty,2
4,$4004_const,1
4,$4004_vol,12
4,$4008_linear,64
4,$400A_period,151
4,$400B_length,248
4,$4008_linear,64
4,$400C_const,0
4,$400C_vol,0
4,$400E_period,10
4,$400E_mode,0
5,$4000_duty,3
5,$4000_const,1
5,$4000_vol,14
5,$4004_duty,2
5,$4004_const,1
5,$4004_vol,12
5,$4008_linear,64
6,$4000_duty,3
6,$4000_const,1
6,$4000_vol,14
6,$4004_duty,2
6,$4004_const,1
6,$4004_vol,12
6,$4008_linear,64
7,$4000_duty,3
7,$4000_const,1
7,$4000_vol,14
7,$4004_duty,2
7,$4004_const,1
7,$4004_vol,12
7,$4008_linear,64
8,$4000_duty,3
8,$4000_const,1
8,$4000_vol,13
8,$4004_duty,2
8,$4004_const,1
8,$4004_vol,12
8,$4008_linear,64
9,$4000_duty,3
9,$4000_const,1
9,$4000_vol,13
9,$4004_duty,2
9,$4004_const,1
9,$4004_vol,11
9,$4008_linear,0
10,$4001_sweep,0
10,$4002_period,25
10,$400B_length,104
10,$4000_duty,3
10,$4000_const,1
10,$4000_vol,15
10,$4005_sweep,0
10,$4006_period,399
10,$4004_duty,2
10,$4004_const,1
10,$4004_vol,12
10,$4008_linear,64
10,$400A_period,135
10,$400B_length,248
10,$4008_linear,64
10,$400C_const,0
10,$400C_vol,0
10,$400E_period,5
10,$400E_mode,0
11,$4000_duty,3
11,$4000_const,1
11,$4000_vol,15
11,$4004_duty,2
11,$4004_const,1
11,$4004_vol,12
11,$4008_linear,64
12,$4000_duty,3
12,$4000_const,1
12,$4000_vol,15
12,$4004_duty,2
12,$4004_const,1
12,$4004_vol,12
12,$4008_linear,64
13,$4000_duty,3
13,$4000_const,1
